workerid,proliferate.condition,resp_b,resp_c,resp_t,trial,error
275,condition1,75,76,74,12,
275,condition1,81,100,60,7,
291,condition1,100,100,100,1,
291,condition1,100,100,100,2,
291,condition1,100,100,100,13,
291,condition1,100,100,100,3,
291,condition1,100,100,100,14,
291,condition1,100,100,100,5,
291,condition1,100,100,100,8,
291,condition1,100,100,100,16,
291,condition1,100,100,100,18,
291,condition1,100,100,100,20,
291,condition1,100,100,100,15,
291,condition1,100,100,100,9,
291,condition1,100,100,100,X1,
291,condition1,100,100,100,17,
291,condition1,100,100,100,11,
291,condition1,100,100,100,12,
291,condition1,100,100,100,7,
291,condition1,100,100,100,21,
291,condition1,100,100,100,6,
291,condition1,100,100,100,19,
291,condition1,100,100,100,4,
291,condition1,100,100,100,10,
317,condition1,84,84,84,1,
317,condition1,86,86,86,2,
317,condition1,85,85,85,19,
317,condition1,87,87,87,20,
317,condition1,87,87,87,11,
317,condition1,88,88,88,4,
317,condition1,87,87,87,3,
317,condition1,88,88,88,12,
317,condition1,87,87,87,8,
317,condition1,86,86,86,13,
317,condition1,86,86,86,18,
317,condition1,86,86,86,14,
317,condition1,85,85,85,X1,
317,condition1,85,85,85,5,
317,condition1,87,87,87,9,
317,condition1,87,87,87,17,
317,condition1,86,86,86,10,
317,condition1,86,86,86,16,
317,condition1,87,87,87,6,
317,condition1,86,86,86,7,
317,condition1,87,87,87,21,
317,condition1,85,85,85,15,
299,condition1,100,100,100,1,
299,condition1,70,73,80,2,
299,condition1,87,81,90,14,
299,condition1,72,99,68,9,
299,condition1,51,5,51,19,
299,condition1,48,45,52,3,
299,condition1,60,58,56,16,
299,condition1,56,81,57,7,
299,condition1,55,60,68,13,
299,condition1,59,62,60,12,
299,condition1,34,42,43,21,
299,condition1,49,32,49,10,
299,condition1,89,90,87,X1,
299,condition1,79,85,86,6,
299,condition1,71,63,69,15,
299,condition1,59,61,61,20,
299,condition1,50,63,54,4,
299,condition1,37,68,39,18,
299,condition1,39,77,21,8,
299,condition1,37,83,73,5,
299,condition1,7,22,68,17,
299,condition1,41,17,84,11,
311,condition1,59,88,76,1,
311,condition1,79,61,70,2,
311,condition1,72,71,78,15,
311,condition1,91,98,82,8,
311,condition1,96,99,97,3,
311,condition1,89,99,99,5,
311,condition1,89,91,94,16,
311,condition1,91,91,91,12,
311,condition1,93,93,94,13,
311,condition1,91,90,94,17,
311,condition1,85,89,96,10,
311,condition1,93,92,99,11,
311,condition1,100,98,100,X1,
311,condition1,99,94,95,6,
311,condition1,96,99,95,7,
311,condition1,87,84,83,20,
311,condition1,99,98,91,4,
311,condition1,89,86,91,19,
311,condition1,91,91,90,21,
311,condition1,84,99,85,9,
311,condition1,91,84,93,14,
311,condition1,88,89,89,18,
318,condition1,64,83,70,1,
318,condition1,80,67,74,2,
318,condition1,78,71,72,20,
318,condition1,72,72,80,15,
318,condition1,76,82,70,7,
318,condition1,72,83,72,9,
318,condition1,77,77,77,21,
318,condition1,80,80,86,11,
318,condition1,82,88,72,8,
318,condition1,82,79,87,16,
318,condition1,83,82,83,18,
318,condition1,87,81,81,6,
318,condition1,87,87,87,X1,
318,condition1,83,87,87,3,
318,condition1,76,79,80,13,
318,condition1,81,78,81,19,
318,condition1,82,81,87,10,
318,condition1,87,87,87,12,
318,condition1,80,80,87,17,
318,condition1,88,88,81,4,
318,condition1,79,88,88,5,
318,condition1,84,77,84,14,
321,condition1,100,100,100,1,
321,condition1,100,100,100,2,
321,condition1,100,100,100,21,
321,condition1,81,100,100,13,
321,condition1,50,100,100,5,
321,condition1,68,100,68,9,
321,condition1,53,53,100,17,
321,condition1,100,100,100,12,
321,condition1,100,61,100,14,
321,condition1,54,55,100,11,
321,condition1,58,100,100,3,
321,condition1,60,100,100,15,
321,condition1,100,100,100,X1,
321,condition1,59,79,100,16,
321,condition1,80,100,60,8,
321,condition1,100,79,80,20,
321,condition1,75,98,59,7,
321,condition1,98,98,60,4,
321,condition1,99,83,98,19,
321,condition1,100,76,76,6,
321,condition1,100,100,100,18,
321,condition1,57,73,100,10,
300,condition1,98,96,98,1,
300,condition1,95,96,100,2,
300,condition1,94,97,98,15,
300,condition1,93,96,93,18,
300,condition1,75,97,99,5,
300,condition1,88,87,100,10,
300,condition1,90,95,94,13,
300,condition1,99,90,92,6,
300,condition1,90,92,89,20,
300,condition1,91,88,96,16,
300,condition1,89,93,98,11,
300,condition1,93,97,96,19,
300,condition1,100,100,100,X1,
300,condition1,95,97,72,4,
300,condition1,67,100,100,3,
300,condition1,72,42,75,14,
300,condition1,77,98,37,8,
300,condition1,78,100,60,7,
300,condition1,74,92,100,9,
300,condition1,71,100,83,12,
300,condition1,64,74,84,17,
300,condition1,57,71,45,21,
280,condition1,100,100,100,1,
280,condition1,100,100,100,2,
280,condition1,100,100,100,4,
280,condition1,84,100,85,7,
280,condition1,97,99,98,20,
280,condition1,89,99,89,9,
280,condition1,100,100,100,13,
280,condition1,100,100,100,12,
280,condition1,99,99,99,5,
280,condition1,100,89,91,6,
280,condition1,69,71,100,11,
280,condition1,78,77,100,10,
280,condition1,99,99,99,X1,
280,condition1,99,99,98,19,
280,condition1,98,99,98,16,
280,condition1,98,97,98,15,
280,condition1,98,100,96,8,
280,condition1,99,97,99,18,
280,condition1,98,97,97,14,
280,condition1,92,93,92,21,
280,condition1,92,94,91,17,
280,condition1,77,100,100,3,
308,condition1,100,100,100,1,
308,condition1,100,100,100,2,
308,condition1,100,100,100,7,
308,condition1,100,100,100,21,
308,condition1,100,100,100,20,
308,condition1,100,100,100,19,
308,condition1,100,100,100,18,
308,condition1,100,100,100,10,
308,condition1,100,100,100,15,
308,condition1,100,100,100,3,
308,condition1,100,100,100,8,
308,condition1,100,100,100,12,
308,condition1,100,100,100,X1,
308,condition1,100,100,100,4,
308,condition1,100,100,100,6,
308,condition1,100,100,100,14,
308,condition1,100,100,100,5,
308,condition1,100,100,100,16,
308,condition1,100,100,100,17,
