id,trial,b,y
6452,15,23,23
6452,6,50,81
6452,4,77,78
6452,16,32,15
6452,19,51,17
6452,5,28,48
6452,20,31,17
6452,9,32,20
6452,8,68,47
6452,21,100,100
6452,17,14,22
6452,18,47,21
6452,10,33,28
6452,12,63,79
6452,14,70,50
6452,13,23,49
6452,7,26,54
6452,11,34,22
6792,1,36,55
6792,2,49,49
6792,16,46,45
6792,13,46,46
6792,19,58,35
6792,15,44,44
6792,10,47,40
6792,9,50,46
6792,3,47,56
6792,18,49,49
6792,7,58,57
6792,12,32,45
6792,8,45,51
6792,5,42,50
6792,14,47,54
6792,17,49,50
6792,4,44,33
6792,21,50,52
6792,6,55,56
6792,20,58,48
6792,11,56,46
6794,1,100,100
6794,2,100,100
6794,9,100,100
6794,16,100,100
6794,3,100,100
6794,18,100,100
6794,21,100,100
6794,15,100,100
6794,6,100,100
6794,5,100,100
6794,19,100,100
6794,10,100,100
6794,17,100,100
6794,20,100,100
6794,14,99,99
6794,13,98,99
6794,4,98,99
6794,11,100,100
6794,8,100,100
6794,7,99,99
6794,12,99,99
6976,1,8,90
6976,2,86,87
6976,8,92,92
6976,19,83,16
6976,18,84,18
6976,5,15,90
6976,20,90,21
6976,7,84,84
6976,21,76,11
6976,17,16,74
6976,3,84,83
6976,14,83,87
6976,16,17,15
6976,4,14,14
6976,9,8,8
6976,11,84,9
6976,15,14,14
6976,12,19,85
6976,13,84,84
6976,6,11,78
6976,10,8,8
6789,1,18,77
6789,2,53,98
6789,12,31,89
6789,20,99,38
6789,19,60,25
6789,7,27,29
6789,15,13,12
6789,14,98,23
6789,3,33,91
6789,11,37,20
6789,18,41,23
6789,13,35,67
6789,6,79,96
6789,5,29,65
6789,17,3,16
6789,9,3,21
6789,16,28,7
6789,4,49,99
6789,21,99,98
6789,8,75,85
6789,10,18,23
6935,1,17,67
6935,2,81,81
6935,8,88,88
6935,13,86,86
6935,19,85,16
6935,7,85,87
6935,11,91,7
6935,21,97,98
6935,20,97,99
6935,5,8,98
6935,15,17,5
6935,3,90,90
6935,14,86,87
6935,6,86,87
6935,12,85,85
6935,4,87,11
6935,16,86,12
6935,18,89,12
6935,17,11,87
6935,9,10,11
6935,10,90,8
6787,1,24,74
6787,2,17,83
6787,21,92,16
6787,3,86,87
6787,18,86,13
6787,4,16,11
6787,14,24,82
6787,16,9,52
6787,5,81,16
6787,19,61,13
6787,6,18,17
6787,20,49,9
6787,9,44,17
6787,7,86,55
6787,8,70,22
6787,12,70,12
6787,15,58,20
6787,10,13,39
6787,13,65,19
6787,11,73,32
6787,17,13,67
6979,1,23,100
6979,2,100,100
6979,9,100,68
6979,10,100,100
6979,16,100,100
6979,17,38,100
6979,5,63,100
6979,8,100,100
6979,13,100,100
6979,12,49,100
6979,15,100,100
6979,7,100,100
6979,14,99,100
6979,3,100,100
6979,19,99,40
6979,21,99,99
6979,6,49,100
6979,11,100,48
6979,4,48,49
6979,20,99,46
6979,18,100,53
6954,1,76,27
6954,2,67,32
6954,14,15,89
6954,21,99,21
6954,15,20,86
6954,3,99,41
6954,20,28,3
6954,6,2,33
6954,8,75,15
6954,13,98,46
6954,16,17,49
6954,11,97,50
6954,10,9,28
6954,5,58,99
6954,9,54,22
6954,18,67,45
6954,12,14,34
6954,4,13,43
