id,trial,c,t
6819,10,89,89
6819,16,90,90
6819,11,90,90
6819,7,91,91
6819,18,88,88
6819,17,89,89
6819,4,92,92
6819,6,92,92
6819,15,91,91
6819,14,92,92
6831,1,90,83
6831,2,85,85
6831,5,90,88
6831,12,85,90
6831,15,86,86
6831,18,86,86
6831,10,88,88
6831,21,97,96
6831,16,81,98
6831,19,81,80
6831,6,84,97
6831,17,73,74
6831,11,76,76
6831,9,81,80
6831,14,87,65
6831,8,85,77
6831,4,91,80
6831,20,85,94
6831,7,86,85
6831,13,84,89
6831,3,89,86
6756,1,100,77
6756,2,100,83
6756,15,100,100
6756,3,82,100
6756,18,71,100
6756,9,100,100
6756,13,76,86
6756,16,93,100
6756,20,100,100
6756,11,78,100
6756,14,100,84
6756,17,80,84
6756,7,78,86
6756,5,93,100
6756,6,100,100
6756,21,100,100
6756,10,85,85
6756,19,81,81
6756,12,94,94
6756,4,96,96
6756,8,96,86
6839,1,22,69
6839,2,84,85
6839,19,98,3
6839,15,0,2
6839,6,95,7
6839,20,88,5
6839,17,97,3
6839,7,94,95
6839,14,91,63
6839,5,69,1
6839,10,2,29
6839,11,50,3
6839,4,50,3
6839,16,2,20
6839,3,66,98
6839,21,99,98
6839,18,32,3
6839,13,21,50
6839,8,98,64
6839,9,2,2
6839,12,98,24
5751,1,79,44
5751,2,77,56
5751,21,64,97
5751,17,30,100
5751,13,16,33
5751,14,54,32
5751,15,45,11
5751,3,17,93
5751,6,53,100
5751,12,74,100
5751,20,66,100
5751,9,30,100
5751,16,15,100
5751,4,100,22
5751,11,23,8
5751,8,71,33
5751,19,23,32
5751,5,68,21
5751,18,48,23
5751,10,33,99
5751,7,48,26
6825,1,84,68
6825,2,87,87
6825,21,65,75
6825,15,82,82
6825,16,83,83
6825,11,73,81
6825,7,76,76
6825,19,73,81
6825,8,70,70
6825,4,81,81
6825,14,58,58
6825,12,63,80
6825,5,59,70
6825,20,44,60
6825,9,69,70
6825,18,49,59
6825,3,67,67
6825,10,88,89
6825,6,66,72
6825,13,52,53
6825,17,56,65
6772,1,85,100
6772,2,100,100
6772,9,76,75
6772,19,100,82
6772,10,84,97
6772,15,89,84
6772,12,100,100
6772,13,100,100
6772,14,98,99
6772,17,99,86
6772,8,99,99
6772,6,92,99
6772,20,100,100
6772,3,100,100
6772,21,97,89
6772,16,84,97
6772,18,100,82
6772,7,100,98
6772,4,98,92
6772,11,99,93
6772,5,99,91
6782,1,100,100
6782,2,99,99
6782,20,100,16
6782,15,9,9
6782,13,98,99
6782,3,97,97
6782,6,89,20
6782,10,3,3
6782,5,86,9
6782,11,78,16
6782,21,90,17
6782,19,88,13
6782,18,84,17
6782,14,97,48
6782,4,27,92
6782,17,80,20
6782,16,17,24
6782,8,81,74
6782,7,68,72
6782,12,91,71
6782,9,9,18
6788,1,56,57
6788,2,57,57
6788,10,69,69
6788,9,72,72
6788,17,63,63
6788,20,65,65
6788,4,67,67
6788,21,62,59
6788,5,63,63
6788,11,55,59
6788,14,61,61
6788,7,64,64
6788,13,65,66
6788,16,72,72
6788,8,69,69
6788,12,65,66
6788,3,66,66
6788,15,63,63
6788,6,62,67
6788,19,66,76
6788,18,57,65
6861,1,46,34
6861,2,45,46
6861,19,48,33
6861,3,55,23
6861,12,30,66
6861,6,42,29
6861,20,41,55
6861,5,54,38
6861,18,41,52
6861,15,56,23
6861,9,31,56
6861,10,33,52
6861,13,50,35
6861,14,50,1
6861,8,69,35
6861,7,27,65
6861,17,100,0
6861,11,50,44
6861,21,35,65
6861,16,57,41
6861,4,35,64
6817,1,69,99
6817,2,99,99
6817,19,98,47
6817,3,99,98
6817,9,48,48
6817,5,98,51
6817,4,46,47
6817,7,98,99
